Country Name,Country Code,Share of consumer expenditure on food (USDA (2017)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Year
Algeria,DZA,43.0,11696.9501953125,39543148.0,2015
Algeria,DZA,37.0,11826.1513671875,40339328.0,2016
Argentina,ARG,20.0,23933.88671875,43257064.0,2015
Argentina,ARG,28.0,23189.52734375,43668236.0,2016
Australia,AUS,10.0,47569.29296875,23820240.0,2015
Australia,AUS,10.0,48116.03125,24195706.0,2016
Austria,AUT,10.0,52873.859375,8642422.0,2015
Austria,AUT,10.0,53345.7421875,8736491.0,2016
Azerbaijan,AZE,40.0,14852.611328125,9863485.0,2015
Azerbaijan,AZE,39.0,14232.1923828125,9976254.0,2016
Bahrain,BHR,13.0,48110.734375,1362157.0,2015
Bahrain,BHR,13.0,47937.7109375,1409668.0,2016
Belarus,BLR,36.0,18362.74609375,9700609.0,2015
Belarus,BLR,36.0,17883.126953125,9708111.0,2016
Belgium,BEL,13.0,49456.3984375,11248306.0,2015
Belgium,BEL,13.0,49829.92578125,11316837.0,2016
Bolivia,BOL,29.0,7984.412109375,11090090.0,2015
Bolivia,BOL,29.0,8202.5439453125,11263016.0,2016
Bosnia and Herzegovina,BIH,31.0,12630.6669921875,3524328.0,2015
Bosnia and Herzegovina,BIH,31.0,13194.3310546875,3480985.0,2016
Brazil,BRA,16.0,15064.17578125,205188208.0,2015
Brazil,BRA,16.0,14451.1533203125,206859584.0,2016
Bulgaria,BGR,18.0,19988.224609375,7309255.0,2015
Bulgaria,BGR,19.0,20740.794921875,7245982.0,2016
Cameroon,CMR,46.0,3570.42456054688,23012650.0,2015
Cameroon,CMR,45.0,3634.38110351563,23711626.0,2016
Canada,CAN,9.0,47522.140625,35732120.0,2015
Canada,CAN,9.0,47457.5859375,36113532.0,2016
Chile,CHL,15.0,24440.416015625,17870122.0,2015
Chile,CHL,16.0,24531.357421875,18083880.0,2016
China,CHN,25.0,12612.3515625,1393715456.0,2015
China,CHN,22.0,13399.1376953125,1401889664.0,2016
Colombia,COL,17.0,14095.748046875,47119728.0,2015
Colombia,COL,17.0,14194.515625,47625960.0,2016
Costa Rica,CRI,20.0,19141.68359375,4895241.0,2015
Costa Rica,CRI,26.0,19736.666015625,4945205.0,2016
Croatia,HRV,31.0,24884.666015625,4254821.0,2015
Croatia,HRV,24.0,25944.2578125,4223748.0,2016
Czechia,CZE,16.0,36168.41796875,10523801.0,2015
Czechia,CZE,17.0,37014.9609375,10527584.0,2016
Denmark,DNK,11.0,52892.64453125,5677795.0,2015
Denmark,DNK,11.0,54185.0078125,5706856.0,2016
Dominican Republic,DOM,23.0,15328.359375,10405832.0,2015
Dominican Republic,DOM,27.0,16166.611328125,10527589.0,2016
Ecuador,ECU,23.0,11896.375,16195904.0,2015
Ecuador,ECU,22.0,11551.6162109375,16439588.0,2016
Egypt,EGY,35.0,10570.4453125,97723792.0,2015
Egypt,EGY,37.0,10795.80859375,99784032.0,2016
Estonia,EST,20.0,31038.8046875,1314658.0,2015
Estonia,EST,21.0,32008.93359375,1315928.0,2016
Finland,FIN,13.0,45072.58984375,5479457.0,2015
Finland,FIN,12.0,46206.7890625,5495217.0,2016
France,FRA,13.0,43345.78515625,63809768.0,2015
France,FRA,13.0,43705.1484375,63989320.0,2016
Georgia,GEO,32.0,12605.1396484375,3771135.0,2015
Georgia,GEO,31.0,12963.744140625,3771112.0,2016
Germany,DEU,10.0,51159.296875,82073232.0,2015
Germany,DEU,11.0,51879.671875,82331432.0,2016
Greece,GRC,17.0,28260.38671875,10806644.0,2015
Greece,GRC,17.0,28239.919921875,10749742.0,2016
Guatemala,GTM,41.0,8125.65576171875,16001105.0,2015
Guatemala,GTM,41.0,8206.0478515625,16291004.0,2016
Hong Kong,HKG,14.0,57215.94921875,7399845.0,2015
Hong Kong,HKG,14.0,58096.30078125,7435925.0,2016
Hungary,HUN,19.0,27531.64453125,9844250.0,2015
Hungary,HUN,18.0,28218.279296875,9815106.0,2016
India,IND,31.0,5464.39404296875,1322866560.0,2015
India,IND,30.0,5851.39501953125,1338636288.0,2016
Indonesia,IDN,33.0,10149.603515625,259091968.0,2015
Indonesia,IDN,31.0,10531.111328125,261850176.0,2016
Iran,IRN,24.0,12698.109375,81790848.0,2015
Iran,IRN,24.0,14205.2119140625,83306232.0,2016
Ireland,IRL,10.0,71508.734375,4665764.0,2015
Ireland,IRL,9.0,72150.0390625,4715791.0,2016
Israel,ISR,15.0,37306.1328125,8007777.0,2015
Israel,ISR,16.0,38214.484375,8159015.0,2016
Italy,ITA,14.0,40247.828125,60232908.0,2015
Italy,ITA,14.0,40837.73828125,60118628.0,2016
Japan,JPN,14.0,40402.58203125,127250936.0,2015
Japan,JPN,14.0,40754.1015625,126993856.0,2016
